"File_Path","Kind","Exported_Functions","Domain","What_It_Computes","Key_Inputs","Key_Outputs","DB_Tables_Touched","Called_By"
"C:\ct\ct\src\lib\services\chat-service.ts","SERVICE","sendMessage, getMessages, listConversations, createConversation, createWorkflowThread, regenerateAiReply, markConversationRead, detectVeriMention, detectClarificationRequest, detectMemorableStatement, formatContextEntityBlock, listMyInstructionMismatches +6 more","VERI Chat - conversations, AI replies, instruction tracking","Whether a message mentions VERI, is a clarification request, or is a memorable statement worth persisting; assembles the AI context block from linked entities, glossary and memory; detects and resolves instruction mismatches.","ChatContext, conversationId, message text and attachments, ConversationContextRef","Conversation and message rows, AI reply, context/glossary/memory blocks, instruction mismatch records","conversations, conversationParticipants, messages, messageAttachments, documents, conversationGuestAccess, instructionCommitments, instructionMismatchDetections, users, tasks, taskExecutionPlan, policies, pmsIssues, projects, veriMeetings","app/api/conversations(+/workflow-thread,/[id]/{messages,read,regenerate,veri-participant})"
"C:\ct\ct\src\lib\services\client-access-service.ts","SERVICE","resolveAccessibleClientIds, FULL_CLIENT_ACCESS_ROLE","Client-level access scoping","Which client ids a user may see - all of them for the full-access role, otherwise only those granted through userClientAccess.","User row / role, orgId","Accessible client id list (or an all-access marker)","clients, userClientAccess, users","app/api/clients, lib/services/firm-enablement-service, lib/services/firm-practice-dashboard-service"
"C:\ct\ct\src\lib\services\code-change-request-service.ts","SERVICE","submitCodeChangeRequest, listCodeChangeRequests","Code change requests","Records a requested code change and raises the paired approval request.","CodeChangeContext, request payload","Code change request rows + approval request","codeChangeRequests, approvalRequests","app/api/code-change-requests"
"C:\ct\ct\src\lib\services\communication-drafting-service.ts","SERVICE","draftCommunication, listDraftedCommunications, getDraftedCommunication, approveCommunication, rejectCommunication","AI-drafted outbound communications","Generates a draft communication for a trigger type/ref, then holds it in an explicit approve/reject gate before anything is sent.","CommunicationDraftingContext, CommunicationTriggerType, trigger ref","Drafted communication rows and their approval state","draftedCommunications","app/api/drafted-communications(+/[id],/[id]/approve,/[id]/reject), app/api/veri-chat/approvals"
"C:\ct\ct\src\lib\services\compliance-service.ts","SERVICE","listComplianceItems, createComplianceItem, getComplianceItem, updateComplianceItem, deleteComplianceItem, getComplianceStats, getOverdueItems, syncOverdue, serviceErrorBody, ServiceError","Compliance item register (also the repo-wide ServiceError base)","Compliance item CRUD with status/priority/type/recurrence whitelists, overdue detection and sync, and status/priority counts for the stats tiles. Its ServiceError class is re-exported by nearly every other service.","ctx, ListComplianceFilters, CreateComplianceInput, UpdateComplianceInput","Compliance rows, stats aggregates, overdue list, typed ServiceError bodies","complianceItems, departments, auditLogs, notices, users, notifications","app/api/compliance(+/[id],/stats,/overdue), app/api/assets/*, app/api/capability-registry/impact, and ~30 services importing ServiceError"
"C:\ct\ct\src\lib\services\confidence-correlation-service.ts","SERVICE","buildConfidenceCorrelationReport, getConfidenceCorrelationReport","AI confidence calibration audit","Correlates each dispatch's self-reported confidence_band against its independently-recorded review_decision/lifecycle_stage outcome, per band - i.e. whether stated confidence tracks real quality.","activity_log rows grouped by confidence band","ConfidenceCorrelationEntry[], ConfidenceCorrelationReport","activityLog","app/api/ai/team/confidence-correlation"
"C:\ct\ct\src\lib\services\connector-data-service.ts","SERVICE","listRecentGmailMessages, listRecentDriveFiles, normalizeGmailMessages, normalizeDriveFiles, toGmailMessageSummary, toDriveFileSummary, SUPPORTED_DATA_PULL_TOOLKITS","Connector data pull (Gmail, Drive)","Normalises raw Composio Gmail/Drive payloads into stable summary shapes; holds the supported-toolkit allow list. Pure normalisation, DB writes delegated to connector-data-store.","Connector account context, raw toolkit response","GmailMessageSummary[], DriveFileSummary[]","(delegates to connector-data-store: connectorAccounts, connectorDocuments)","app/api/connectors/gmail/messages, app/api/connectors/drive/files"
"C:\ct\ct\src\lib\services\connector-data-store.ts","SERVICE","getActiveConnectorAccount, upsertConnectorDocument","Connector persistence layer","Resolves the org's active connector account and upserts a pulled connector document. The DB-touching half of the connector-data pair.","ConnectorContext, ConnectorDocumentInput","Connector account row, upserted connector document row","connectorAccounts, connectorDocuments","lib/services/connector-data-service, lib/services/workspace-memory-drive-sync"
"C:\ct\ct\src\lib\services\connector-scope-gate-service.ts","SERVICE","executeGatedConnectorAction, ConnectorGateDeniedError, ConnectorAuditWriteFailedError","Connector write-action scope gate","The one execution path for a write/edit action against a connected Google account: composes the pure scope/delete-scope/audit-descriptor gate with the real Composio call and a mandatory audit_logs row; a failed audit write aborts the action.","GatedConnectorActionParams, ConnectorAuditActor","GatedConnectorActionResult, GatedConnectorAudit, or a denial error","audit logs via logActivity","NONE (no importer found in src)"
"C:\ct\ct\src\lib\services\construction-ai-service.ts","SERVICE","estimateProgressFromPhoto, generateProgressSummary, detectBudgetScheduleRisk, classifyBudgetScheduleRisk, overspendRatioOf, diffDrawingRevisions, discussConstruction","Construction AI assistance","overspendRatio = spend / budget; classifyBudgetScheduleRisk turns overspend ratio and schedule slippage into a risk band with named factors; the rest are LLM-vision/LLM-text wrappers over real dashboard and report data.","ctx, projectId, photo/document references, dashboard + report payloads","ProgressPhotoEstimate, ProgressSummary, BudgetScheduleRisk, DrawingDiff, chat answer","documents (plus reads via construction-dashboard-service and construction-reports-service)","app/api/construction/ai/{estimate-progress,progress-summary,risk-detection,diff-drawings}, app/api/v1/projexa/discuss, lib/task-execution/construction-tools"
"C:\ct\ct\src\lib\services\construction-billing-workflow-service.ts","SERVICE","createProgressClaim, draftClaim, submitClaim, approveClaim, rejectClaim, invoiceApprovedClaim, listBillingDueQueue, getClaimTimeline","Construction progress-claim billing workflow","State machine milestone_achieved -> drafted -> submitted -> client_approved -> invoiced (or rejected); flags claims stuck past STUCK_CLAIM_THRESHOLD_DAYS; delegates the money to generateInterimBill at the invoiced transition.","ClaimContext, CreateProgressClaimInput, claimId","Claim rows, billing-due queue items, ClaimTimelineStep[]","constructionProgressClaims, constructionInterimBills, erpSalesInvoices, erpPaymentEntries, users","app/api/construction/progress-claims(+/[id]/{draft,submit,approve,reject,invoice})"
"C:\ct\ct\src\lib\services\construction-boq-category-service.ts","SERVICE","listBoqCategories, createBoqCategory, renameBoqCategory, deleteBoqCategory, countLineItemsUsingCategory, normalizeCategoryName, categoryInUseMessage, DEFAULT_BOQ_CATEGORIES","Construction BOQ category register","Case-insensitive category names merged with a default seed list; rename cascades to line items, delete is blocked while lines still use the category.","ctx.orgId, category name/id","Category rows, rename result with affected line count","constructionBoqCategories, constructionBoqLineItems","app/api/v1/construction/boq/categories(+/[id])"
"C:\ct\ct\src\lib\services\construction-boq-import-service.ts","SERVICE","parseBoqSpreadsheet, mapBoqHeaders, mapRowsToLineItems, applyMappingOverride, analyseBoqPreview, toPreviewRows, BOQ_FIELD_ALIASES","Construction BOQ spreadsheet import","Maps xlsx/csv headers to BOQ fields via an alias table, parses amounts, rebuilds parent/child hierarchy from the sheet, and produces a preview with per-row issues before any write.","Uploaded xlsx/xls/csv buffer, optional column mapping override","BoqColumnMapping, BoqLineItemInput[], BoqPreview {rows, status, issues}","(none - pure parsing; writes go through construction-boq-service)","app/api/construction/boq/import, app/api/v1/projexa/scope/import"
"C:\ct\ct\src\lib\services\construction-boq-service.ts","SERVICE","createBoq, createBoqRevision, updateBoq, updateLineItemBudget, getBoq, listBoqs, listBoqLineOptions, compareBoq, diffLineItems, computeTotalVariation, computeHierarchicalAmount, deriveLineItemQuantityAndRate +20 more","Construction BOQ (Bill of Quantities) - scope + money master","The BOQ total and its hierarchy invariants. Sub-task amount = root QTY x root RATE x breakdownPercentage/100 (child rate is derived and overwritten at write time); computedRate = (material+labour+equipment) x (1+overhead%) x (1+profit%); revision diff (added/removed/changed) with netVariation = curr.amount - prev.amount and totalVariation; blocks scope reduction on lines with recorded site progress.","BoqInput {title, lineItems[{itemCode,parentItemCode,breakdownPercentage,quantity,rate,budgetPercentage,vendorAmount,materialAmount,manpowerAmount,category}]}, boqId, ctx {orgId,userId}","Persisted BOQ + line-item rows, list rows with chain variation, BoqComparison {added,removed,changed,warnings,totalVariation}, ScopeReductionError(409) with conflicts","constructionBoqs, constructionBoqLineItems, constructionWorkProgressEntries, projects","app/api/construction/boq/route.ts and /[id]/{route,submit,approve,compare,revisions}, /boq/import, construction-boq-import-service"
"C:\ct\ct\src\lib\services\construction-change-order-service.ts","SERVICE","createChangeOrder, listChangeOrders, listChangeOrdersAwaitingApproval, getChangeOrder, submitChangeOrderForApproval, markChangeOrderApproved, markChangeOrderRejected","Construction change orders","Change-order lifecycle, routing client approval through the existing e-signature service (linkedEntityType 'change_order') rather than a bespoke approval path.","ctx, ChangeOrderInput, changeOrderId","Change-order rows and approval state","constructionChangeOrders","app/api/v1/projexa/change-orders(+/[id],/signature-status), app/api/veri-chat/approvals"
"C:\ct\ct\src\lib\services\construction-dashboard-service.ts","SERVICE","getProjectDashboard, getProjectDashboards, getProjectDashboardsWithDb, getOrgDashboard, getOrgDashboardWithDb, createProject, updateProjectValue, listProjectsForSelection, listActiveProducts, resolveProjectMoney, toProjectDashboard, averageLatestPercent","Construction project + org dashboards","Per-project budget/revenue/expense/progress/delay tiles and the company-level roll-up; reuses earnedValueReport rather than a second summation path; EARNED_VALUE_BASELINE_DAYS and PERMIT_EXPIRY_HORIZON_DAYS drive the org view.","ctx.orgId, projectId, OrgDashboardFilters","ProjectDashboard {budget, ledgerBudget, revenue, expenses, progressPercent, recentProgress, photos, tasks}, OrgDashboardSummary","projects, products, erpSalesInvoices, erpBudgets, erpBudgetLineItems, erpCostCenters, constructionExpenseEntries, constructionActivities, constructionWorkProgressEntries, constructionBoqs, constructionBoqLineItems, pmsIssues, documents, users, erpPurchaseOrders","app/api/construction/dashboard(+/[projectId]), app/api/v1/projexa/dashboard(+/[projectId]), /v1/projexa/products, /v1/projexa/projects, construction-reports-service"
"C:\ct\ct\src\lib\services\construction-enablement-service.ts","SERVICE","isConstructionEnabledForOrg, isConstructionEnabledForOrgWithDb, requireConstructionEnabled, requireConstructionEnabledWithDb, getConstructionEnablement, enableConstructionForOrg, disableConstructionForOrg","Construction module entitlement gate","Whether the org has purchased the construction product branch; the WithDb variants reuse an already-open tenant transaction instead of opening a second pooled connection.","ctx.orgId, optional TenantDb handle","boolean / throws 403, enablement record","(reads product-branch enablement via branch-enablement helper)","app/api/construction/enablement, construction-reports-service, construction-dashboard-service, construction-boq-category-service, report-domain-enablement-service"
