"File_Path","Kind","Exported_Functions","Domain","What_It_Computes","Key_Inputs","Key_Outputs","DB_Tables_Touched","Called_By"
"C:\ct\ct\src\lib\services\pm-team-service.ts","SERVICE","listPmTeams,getPmTeam,createPmTeam,updatePmTeam,listTeamMembers,addTeamMember,updateTeamMemberRole,removeTeamMember","PM","Generic PM teams and membership with per-member roles, deliberately decoupled from the helpdesk-specific ticket teams","team input, member user ids and roles","team rows, member list with roles","pmTeams, pmTeamMembers","UNKNOWN (no importer found anywhere under src/)"
"C:\ct\ct\src\lib\services\pms-budget-service.ts","SERVICE","listBudgets,createBudget,addBudgetLineItem,getBudget,getBudgetActuals","PMS/Budgeting","Project budgets and line items are the planned figures; actuals are computed live as sum(hours x resolveBillableRate(user, spentOn)) over the project's issue time entries, never a duplicated ledger","project id, budget line items","budget rows, actual labour cost and total hours","pmsBudgets, pmsBudgetLineItems, pmsTimeEntries, pmsIssues, projects","3 routes under app/api/pms/budgets/*"
"C:\ct\ct\src\lib\services\pms-enablement-service.ts","SERVICE","isPmsEnabledForOrg,requirePmsEnabled,getPmsEnablement,enablePmsForOrg,disablePmsForOrg","Platform/Entitlement","Org-level gate for the 'pms' branch; enabling seeds real org-owned default issue types (copy-on-enable), disabling never deletes data. Thin wrapper over product-branch-service","orgId","boolean/throw gate, seeded default issue types","pmsIssueTypes; orgProductBranchEnablements via product-branch-service","47 API routes under app/api/pms/* and app/api/me, lib/purpose-bound-ai.ts"
"C:\ct\ct\src\lib\services\pms-invoice-service.ts","SERVICE","buildInvoiceLinesFromTimeEntries,generateInvoiceFromUnbilledProjectTime","PMS/Billing","Timesheet-to-client-invoice bridge: groups unbilled project time entries into invoice lines priced by the PMS billable rate and emits a real ERP sales invoice, modelled on the firm billing service's anti-double-billing pattern","project id, date range, customer","invoice lines from time entries, generated ERP sales invoice","pmsTimeEntries, pmsBillableRates, pmsIssues, erpSalesInvoices, erpSalesInvoiceItems, erpCustomers, erpCurrencies, erpCompanies, projects","app/api/pms/invoices/generate"
"C:\ct\ct\src\lib\services\pms-issue-service.ts","SERVICE","predecessorIdsOf,calculateProjectRollupPercentage,recalculateProjectRollup,computeParentCompletionPercentage,fetchChildCompletionByParent,listIssues,getIssue,createIssue,updateIssue,addIssueRelation,listIssueRelations","PMS","Core issue CRUD with atomic per-project issue numbering and multi-assignee sync; project rollup = rounded mean completionPercentage over non-archived issues, recomputed inline on every create/update so the stored column is never stale; parent completion rolls up from children; predecessor relations","issue input, completion percentages, relations, assignees","issues, project rollup percentage, parent completion, relation graph","pmsIssues, pmsIssueAssignees, pmsIssueRelations, pmsIssueLabels, pmsIssueStatuses, projects","9 routes under app/api/pms/issues/*"
"C:\ct\ct\src\lib\services\pms-meeting-service.ts","SERVICE","listMeetings,getMeeting,createMeeting,updateMeeting,addMeetingOutcome","PMS","Project meetings with agenda items, participants and recorded outcomes/minutes","meeting input, agenda items, participants, outcome","meeting rows with agenda, participants and outcomes","pmsMeetings, pmsMeetingAgendaItems, pmsMeetingOutcomes, pmsMeetingParticipants","9 routes under app/api/pms/meetings/*, lib/pipeline/executor.ts"
"C:\ct\ct\src\lib\services\pms-sprint-service.ts","SERVICE","listSprints,createSprint,updateSprint,listSprintIssues,addIssueToSprint,removeIssueFromSprint,closeSprint","PMS","Sprints and sprint-issue membership; closing a sprint takes a burndown snapshot from the issues and their statuses at close time","sprint dates, issue ids, close action","sprint rows, sprint issue list, close-time burndown snapshot","pmsSprints, pmsSprintIssues, pmsIssues, pmsIssueStatuses, projects","6 routes under app/api/pms/sprints/*"
"C:\ct\ct\src\lib\services\pms-taxonomy-service.ts","SERVICE","ensureDefaultStatusesForProject,listIssueTypes,pickDefaultIssueTypeId,resolveDefaultIssueTypeId,resolveDefaultStatusId,createIssueType,listIssueStatuses,createIssueStatus,createWorkflowTransition,listWorkflowTransitions,listLabels,createLabel +5 more","PMS","The PMS configuration layer: org-wide issue types, per-project statuses with default seeding and resolution, allowed workflow transitions, labels, estimate schemes/points, and milestone completion percentage computed from its issues","project id, type/status/label/estimate definitions, milestone issues","default type and status ids, transition rules, milestone completion percentage","pmsIssueTypes, pmsIssueStatuses, pmsWorkflowTransitions, pmsLabels, pmsEstimateSchemes, pmsEstimatePoints, pmsMilestones, pmsIssues","12 routes under app/api/pms/*"
"C:\ct\ct\src\lib\services\pms-time-service.ts","SERVICE","timesheetEntryRef,listTimeEntriesForIssue,listTimeEntriesForProject,getTimeEntry,updateTimeEntry,logTime,deleteTimeEntry,submitTimeEntry,submitDayForReview,reviewDayForReview,approveTimeEntry,rejectTimeEntry +7 more","PMS/Time","Project time logging plus the timesheet approval chain: draft/rejected entries are resubmittable, a whole day can be submitted for review, and rejection demands a reason of at least 5 characters. Also owns PMS billable rates that budgets and invoices price against","issue/project, hours, spentOn, submit/approve/reject actions with reason","time entries with approval state, billable rate resolution","pmsTimeEntries, pmsBillableRates, pmsIssues, users","17 routes under app/api/pms/*, lib/pipeline/executor.ts; pms-budget-service, pms-invoice-service"
"C:\ct\ct\src\lib\services\pms-view-service.ts","SERVICE","listSavedViews,createSavedView,updateSavedView,deleteSavedView","PMS","Saved filter/sort/display views; private-vs-shared visibility is enforced by a real RLS branch, this layer only adds ownership checks on writes","view definition (filters, sort, display), owner","saved view rows","pmsSavedViews","app/api/pms/saved-views, app/api/pms/saved-views/[id]"
