"File_Path","Kind","Exported_Functions","Domain","What_It_Computes","Key_Inputs","Key_Outputs","DB_Tables_Touched","Called_By"
"C:\ct\ct\src\lib\services\training-service.ts","SERVICE","gradeAnswer, gradeSubmission, submitAttempt, enroll, assignPath, markCourseComplete, startEnrollment, getCourseRoster, getOrgRosterSummary, getMyTraining, createCourse, createAssessment +30 more (module/lesson/question/path CRUD)","HR / Training LMS","The assessment grading engine: auto-grades MCQ and true/false per question points, sums score vs maxScore into scorePercent, compares against the assessment's passingScorePercent, and on a pass writes the trainingCompletions row; also fans learning paths out into real enrollments by role/department.","orgId+userId+dbUser; course/module/lesson/assessment/question definitions; learner answers map; path targets (employee, department, role) + dueDate","graded attempt {score, maxScore, scorePercent, passed}, completions, enrollments, path assignments, course roster and org roster summary rows","training_courses, training_modules, training_lessons, training_assessments, training_questions, training_enrollments, training_assessment_attempts, training_completions, training_paths, training_path_courses, training_path_assignments, users, documents","/api/training/{courses,courses/[id],courses/[id]/{modules,assessment},assessments/[id],assessments/[id]/questions,enrollments,enrollments/[id]/attempts}"
"C:\ct\ct\src\lib\services\veri-chat-service.ts","SERVICE","setConversationContext, attachDocumentToMessage, createShareLink, listShareLinks, revokeShareLink, getSharedConversation, importSharedContent, createGuestAccess, listGuestAccess, revokeGuestAccess, resolveActiveGuestAccess, getGuestConversation +1 more (postGuestMessage)","Collaboration / VERI Chat","Extends chat-service without duplicating message CRUD: links a conversation to any module record, attaches documents to messages, and runs the tokenized read-only share-out plus external guest-access mechanism (expiry default 72h, revocation, guest posting).","orgId+userId; conversationId, messageId, documentId; expiresInHours; public share or guest token; guest message content","conversation_share_links and conversation_guest_access rows; read-only shared conversation payload; guest messages","conversations, conversation_participants, messages, message_attachments, conversation_share_links, conversation_guest_access, documents, tickets","/api/veri-chat/*; /api/guest-chat/[token](/messages); /api/shared/conversation/[token]; ticket-service.ts; stage0-service.ts"
"C:\ct\ct\src\lib\services\veri-chat-v2-enablement-service.ts","SERVICE","isVeriChatV2EnabledForOrg, requireVeriChatV2Enabled, getVeriChatV2Enablement, enableVeriChatV2ForOrg, disableVeriChatV2ForOrg","Entitlement (product branch)","Thin org-level enable/disable/require wrapper for the 'veri_chat_v2' product branch. No seed function - enabling only changes which composer/panel components AppShell mounts.","orgId; BranchEnablementContext","boolean enabled; enablement row; ServiceError 403 from require*","product_branches / org branch enablement (via product-branch-service.ts)","/api/me"
"C:\ct\ct\src\lib\services\veri-meeting-service.ts","SERVICE","createVeriMeeting, updateVeriMeetingDetails, updateMeetingMinutes, publishVeriMeeting, deleteVeriMeeting, generateMeetingIntelligence, addMeetingActionItem, listMyMeetingActionItems, createMeetingShareLink, getMeetingByShareToken, composeMeetingShareTarget, canDeleteMeeting +10 more","Collaboration / Minutes of Meetings","The publish/lock invariant (once published, title/type/scheduledAt/attendees/agenda/minutes are immutable and the meeting cannot be deleted), amend-don't-overwrite minutesHistory, LLM meeting intelligence, and action items that become REAL tasks rows.","orgId+userId/actor; meeting title/type/scheduledAt/attendees/agenda/minutes; action item {title, assigneeUserId, dueDate}; share brand + expiry (default 168h)","veri_meetings and veri_meeting_action_items rows; real tasks rows; veri_meeting_share_links + composed share target URL/text; audit_logs entries","veri_meetings, veri_meeting_action_items, veri_meeting_share_links, tasks, audit_logs, projects, users","/api/v1/projexa/veri-meetings/*; /api/veri-chat/meetings/action-items; voice-ticket-service.ts; report-engine-service.ts"
"C:\ct\ct\src\lib\services\veri-reward-enablement-service.ts","SERVICE","VERI_REWARD_BRANCH_KEY, isVeriRewardEnabledForOrg, requireVeriRewardEnabled, getVeriRewardEnablement, enableVeriRewardForOrg, disableVeriRewardForOrg","Entitlement (product branch)","Thin org-level gate for the 'veri_reward' branch. Unlike opt-in branches this one defaults to ENABLED for every org (backfilled by migration and enabled at signup), but the require* gate still exists so an org can genuinely opt out.","orgId; BranchEnablementContext","boolean enabled; enablement row; ServiceError 403 from requireVeriRewardEnabled","product_branches / org branch enablement (via product-branch-service.ts)","/api/veri-reward/{route,history,leaderboard,streak,referral,export,admin-report}"
"C:\ct\ct\src\lib\services\veri-reward-service.ts","SERVICE","awardPoints, getPointsBalance, evaluateAchievementProgress, checkAndUnlockAchievements, listAchievementsWithProgress, listPointsHistory, countPointsHistory, getOrgLeaderboard, recordStreakCheckIn, listStreaks, getOrCreateReferralLink, recordReferralClick +3 more","Engagement / VERI Treasure (gamification)","The points, achievement, streak and referral engine: appends to the points ledger, evaluates achievement progress against each definition's threshold and unlocks once, computes consecutive-day streak continuation vs reset on check-in, and ranks the org leaderboard.","TenantDb; orgId, userId; points amount + reason/source; achievement definitions; streakKey and check-in date; referral token","veri_reward_points_ledger / achievement_unlocks / streaks / referrals rows; balance, leaderboard page, StreakResult, engagement report; notifications on unlock","veri_reward_points_ledger, veri_reward_achievement_definitions, veri_reward_achievement_unlocks, veri_reward_streaks, veri_reward_referrals, users, notifications","/api/veri-reward/{route,history,leaderboard,streak,referral,export,admin-report}; /api/documents; /api/me/onboarding-stage"
"C:\ct\ct\src\lib\services\veri-todo-service.ts","SERVICE","listVeriTodos (+ types VeriTodoContext, VeriTodoItem)","Work management / universal To Do","Defines the RULE for what counts as a user's pending work: a genuine union across tasks, pending instruction_commitments, and pms_issues assigned to the user whose status is not in the completed/cancelled group - each item tagged with its real source.","orgId + userId","{items: VeriTodoItem[]} each with source 'task'|'instruction'|'pms_issue', title, description, due date, project","tasks, instruction_commitments, pms_issues, pms_issue_assignees, pms_issue_statuses, projects","/api/veri-todo; /api/home/todos"
"C:\ct\ct\src\lib\services\visitor-intelligence-service.ts","SERVICE","recordVisitorEvent, recordVisitorConversion, decideExitOffer, getVisitorFunnelStats, analyzeFunnelWithAI (+ types TrackPayload, ExitOffer)","Sales / marketing (visitor funnel)","Rules-first exit-intent offer: a deterministic ladder keyed on visit count, product and sections reached decides the offer in milliseconds; separately computes funnel stats and drop-off over a days window, with the LLM analysis reserved for async Sales HQ review.","visitorId, product key, sections seen, event type/page; days window (default 30); orgId+userId for AI analysis","visitor_sessions/visitor_events rows; ExitOffer decision; funnel + drop-off stats; AI funnel analysis (orchestra execution recorded)","visitor_sessions, visitor_events","/api/track; /api/track/offer; /api/sales-hq/visitors; /api/sales-hq/visitors/analyze; lib/supabase/auth-guard.ts"
"C:\ct\ct\src\lib\services\voice-ticket-service.ts","SERVICE","normalizeSuggestedActionItems, listVoiceMemos, getVoiceMemo, createVoiceMemo, transcribeAndExtractVoiceMemo, addVoiceMemoTicket, listMyVoiceTickets","Collaboration / voice memos to tasks","Transcribes a voice memo via Whisper, runs the policy-enforced LLM extraction (resolveModelConfig -> prompt template -> enforcePolicy -> callLLMJson -> recordOrchestraExecution) and normalizes suggested action items; a suggestion becomes a task only on explicit human promotion.","orgId+userId+dbUser; audio upload; optional meetingId; memoId + suggestion index to promote","voice_memos and voice_memo_action_items rows; real tasks rows on promotion (delegated to veri-meeting addMeetingActionItem when meeting-attached)","voice_memos, voice_memo_action_items, veri_meetings, tasks","/api/voice-tickets(/[id],/[id]/action-items); /api/veri-chat/voice-tickets"
"C:\ct\ct\src\lib\services\wisdom-engine-service.ts","SERVICE","summarizeGatedReplyReasons (+ types WisdomContext, GatedReplyReasonSummary)","AI-ops / wisdom engine v1","Deterministic, zero-LLM v1: a SQL aggregation plus in-memory group-by over the org's orchestra_executions that counts WHY replies were gated, so a pattern can be shown without any approval gate. Read-only - writes nothing.","orgId ctx (optional window)","GatedReplyReasonSummary[] {reason, count}","orchestra_executions","UNKNOWN - no importer found anywhere in src/ or scripts/ (no route or service currently calls it)"
