"File_Path","Kind","Exported_Functions","Domain","What_It_Computes","Key_Inputs","Key_Outputs","DB_Tables_Touched","Called_By"
"C:\ct\ct\src\lib\services\erp-party-service.ts","SERVICE","listAddresses,addAddress,deleteAddress,listContacts,addContact,deleteContact","Master Data","Multiple addresses and contacts per customer or vendor, polymorphic via linkedEntityType/linkedEntityId so one service serves both party types","party type (erp_customer|erp_supplier), party id, address/contact input","address and contact rows per party","erpAddresses, erpContacts","6 routes under app/api/erp/parties/[type]/[id]/*"
"C:\ct\ct\src\lib\services\erp-payment-entries-service.ts","SERVICE","nextPaymentEntryStatus,canDecidePaymentEntry,listPaymentEntries,listPendingPaymentApprovals,getPaymentEntry,getPaymentEntryAuditTrail,createPaymentEntry,submitPaymentEntry,cancelPaymentEntry,decidePaymentEntry,computeSubcontractorPaymentApplicationWorklist,subcontractorPaymentApplicationStatus +1 more","Finance/Payments","Payment entry status machine (submit/approve/reject/cancel) plus a maker-checker decision gate keyed on actor role, creator identity and delegated authority; approved payments post a JE and settle against sales/purchase invoices; subcontractor payment-application worklist with a stuck-days threshold","payment entry input, actor role, invoice allocations","status transitions, approval decisions, posted JE, audit trail, stuck-application worklist","erpPaymentEntries, erpJournalEntries, erpJournalEntryLines, erpSalesInvoices, erpPurchaseInvoices, erpBankAccounts, erpCustomers, erpSuppliers, auditLogs","8 routes under app/api/erp/payment-entries/*, report-catalog-service"
"C:\ct\ct\src\lib\services\erp-payroll-service.ts","SERVICE","listSalaryComponents,createSalaryComponent,listStatutoryRules,createStatutoryRule,listSalaryStructures,createSalaryStructure,listPayrollRuns,getPayrollRun,createPayrollRun,buildLoanAndReimbursementLines,processPayrollRun,listPayslips +8 more","Payroll","THE payroll run. Earnings = flat / percentage-of-basic, then a second pass for percentage-of-gross. PF = min(pfWage, ceiling) x employeeRate; ESI = gross x rate only if gross <= ceiling; Professional Tax picked from the state slab table (refuses to guess when gross exceeds every band); TDS projected as annualTax/12 from the employee's income-tax slab; loan installment deductions and approved expense reimbursements added as lines","payroll run month/year, salary structures, statutory rules, income-tax slabs","payslips with earning/deduction lines, gross, total deductions, net pay","erpPayrollRuns, erpPayslips, erpPayslipLines, erpSalaryStructures, erpSalaryStructureComponents, erpSalaryComponents, erpStatutoryRules, erpIncomeTaxSlabs, erpIncomeTaxSlabRates, erpEmployeeTaxExemptions, employeeProfiles, hrEmployeeLoans, hrLoanInstallments, hrExpenseClaims","25 routes under app/api/erp/payroll/*"
"C:\ct\ct\src\lib\services\erp-procurement-workflow-service.ts","SERVICE","listPurchaseRequisitions,getPurchaseRequisition,createPurchaseRequisition,submitPurchaseRequisition,markPurchaseRequisitionApprovedFromApproval,listRfqs,createRfq,getRfq,sendRfq,listSupplierQuotations,createSupplierQuotation,compareQuotationsForRfq +12 more","Procurement","Pre-PO authorization chain: purchase requisition (submit routes through the shared Approval Workflow Engine), RFQ to multiple suppliers, supplier quotations, weighted quotation scoring against criteria, negotiation rounds and reverse auctions with bids; per-org max()+1 document numbering","requisition/RFQ/quotation inputs, scoring criteria + weights, bids","requisition approval state, quotation comparison and scores, auction bid ranking","erpPurchaseRequisitions, erpPurchaseRequisitionItems, erpRfqs, erpRfqItems, erpRfqSuppliers, erpSupplierQuotations, erpSupplierQuotationItems, erpRfqScoringCriteria, erpRfqQuotationScores, erpRfqNegotiationRounds, erpRfqReverseAuctions, erpRfqAuctionBids","24 routes under app/api/erp/* and app/api/erp/auctions/*, approval-workflows decide route"
"C:\ct\ct\src\lib\services\erp-returns-service.ts","SERVICE","listSalesReturns,createSalesReturn,approveSalesReturn,rejectSalesReturn,receiveSalesReturn,linkSalesReturnCreditNote,listPurchaseReturns,createPurchaseReturn,approvePurchaseReturn,rejectPurchaseReturn,dispatchPurchaseReturn,linkPurchaseReturnCreditNote","Sales/Procurement","RMA status machine for sales and purchase returns; physical movement goes back through the FIFO recordStockReceipt/recordStockIssue engine and the financial side links an existing sales/purchase credit note rather than duplicating either","return header + item lines, approval decision","return status transitions, stock movements, credit-note link","erpSalesReturns, erpSalesReturnItems, erpPurchaseReturns, erpPurchaseReturnItems","10 routes under app/api/erp/returns/*"
"C:\ct\ct\src\lib\services\erp-selling-service.ts","SERVICE","resolveDocumentCurrency,listCustomers,listCustomersPaged,createCustomer,getCustomer,updateCustomer,getCustomerOverview,listQuotations,createQuotation,getQuotation,getQuotationForPdf,createQuotationRevision +8 more","Sales","Customer master with credit limits, quotation authoring with revisions and status, quotation-to-sales-order conversion, sales order lines, and a customer overview rolling up invoices/payments/credit notes/returns; resolveDocumentCurrency picks currency and exchange rate for a document","customer input, quotation/sales-order item lines, currency","customer rows, quotation revisions, sales orders, customer 360 overview","erpCustomers, erpQuotations, erpQuotationItems, erpSalesOrders, erpSalesOrderItems, erpSalesInvoices, erpSalesCreditNotes, erpSalesReturns, erpPaymentEntries, erpCurrencies, crmLeads, crmOpportunities","15 routes under app/api/erp/selling/* and app/api/v1/projexa/customers/*, lib/pdf/quotation-pdf.ts, lib/task-execution-engine.ts"
"C:\ct\ct\src\lib\services\erp-stock-service.ts","SERVICE","listItems,getItem,createItem,listWarehouses,createWarehouse","Inventory","Item and warehouse master CRUD backing the inventory UI's pickers and quick-add; no valuation logic of its own","item/warehouse input","item and warehouse rows","erpItems, erpWarehouses","app/api/erp/stock/items, app/api/erp/stock/warehouses, app/api/v1/projexa/inventory/items/[id]"
"C:\ct\ct\src\lib\services\erp-uom-batch-service.ts","SERVICE","listUomConversions,createUomConversion,convertToStockUom,listBatches,createBatch,listSerials,createSerials,updateSerialStatus","Inventory","Multi-UOM conversion (convertToStockUom normalises a transaction quantity into the item's stock UOM before any ledger posting) and batch/serial traceability metadata; valuation stays at item-warehouse level","item, alternate UOM, quantity, batch/serial input","stock-UOM quantity, batch and serial rows, serial status","erpItemUomConversions, erpItemBatches, erpItemSerials","4 routes under app/api/erp/stock/*; erp-inventory-service (every receipt/issue)"
"C:\ct\ct\src\lib\services\erp-vendor-master-service.ts","SERVICE","addBankAccount,listBankAccounts,recordQualificationReview,listQualificationReviews,recordSanctionCheck,listSanctionChecks,createPortalLink,listPortalLinks,revokePortalLink,getSupplierPortalData,submitBankAccountViaPortal","Procurement/Vendor Master","Vendor banking details, qualification-review workflow, sanction/blacklist screening records, and a token-bearer self-service vendor portal (scoped read plus narrow write) with expiry and revocation","supplier id, bank account, qualification/sanction inputs, portal token","bank accounts, qualification and sanction records, portal payload","erpSuppliers, erpSupplierBankAccounts, erpSupplierQualifications, erpSupplierSanctionChecks, erpSupplierPortalLinks","12 routes under app/api/erp/buying/suppliers/*"
"C:\ct\ct\src\lib\services\esignature-service.ts","SERVICE","computeSignatureRequestStatusAfterSign,changeOrderTransitionAfter,createSignatureRequest,listSignatureRequests,listLatestSignatureRequestsForEntities,getSignatureRequest,voidSignatureRequest,getSigningSession,submitSignature,declineSignature","Documents/e-Signature","First-party signing workflow over documents, ERP contracts and construction change orders: computes request status after each signer signs, compares a stored document hash at sign time, and records signer identity, IP, user agent and timestamp as a tamper-evident trail","document/contract id, signer list, signing token, signature payload","signature request status, per-signer records, change-order transition","esignatureRequests, esignatureSigners, documents, erpContracts, constructionChangeOrders, users","8 routes under app/api/esignature/*"
